Phrase	Transcription	Notes
{{c1::اِسْمَكْ إِيهْ::Jak się nazywasz}}؟	{{c1::Esmak ē}}?	r.m.
{{c1::اِسْمِي::Nazywam się}} دَاود.	{{c1::Esmī}} Dāwud.
أنَا {{c1::مِنْ الصِّينْ::z Chin}}.	Anā {{c1::min aṣ-Ṣīn}}.
أنَا {{c1::مِنْ الْهِنْد::z Indii}}.	Anā {{c1::min el-Hind}}.
أنَا {{c1::مِنْ إِنْدُونِيسْيَا::z Indonezji}}.	Anā {{c1::min Indūnīsiyā}}.
أنَا {{c1::مِنْ تُرْكِيَا::z Turcji}}.	Anā {{c1::min Turkiyā}}.
أنَا {{c1::مِنْ هُولَنْدَا::z Holandii}}.	Anā {{c1::min Hūlandā}}.
أنَا {{c1::مِنْ سُوِيسْرَا::ze Szwajcarii}}.	Anā {{c1::min Swīsrā}}.
أنا {{c1::مِنْ جَنُوبْ أَفْرِيقْيَا::z RPA}}.	Anā {{c1::min Ganūb Afrīqiyā}}.
أنَا {{c1::مِنْ الْمِكْسِيكْ::z Meksyku}}.	Anā {{c1::min el-Meksīk}}.
أنَا {{c1::مِنْ الْفِلِبِينْ::z Filipin}}.	Anā {{c1::min el-Filibīn}}.
أنَا {{c1::مِنْ فِيتْنَامْ::z Wietnamu}}.	Anā {{c1::min Fītnām}}.
أنَا {{c1::مِنْ فَرَنْسَا::z Francji}}.	Anā {{c1::min Faransā}}.
أنَا {{c1::مِنْ أَلْمَانْيَا::z Niemiec}}.	Anā {{c1::min Almānyā}}.
أنَا {{c1::مِنْ أَسْبَانْيَا::z Hiszpanii}}.	Anā {{c1::min Asbāniyā}}.
أنَا {{c1::مِنْ الْيَابَانْ::z Japonii}}.	Anā {{c1::min el-Yābān}}.
أنَا {{c1::مِنْ الدِّنِمَارْك::z Danii}}.	Anā {{c1::min ed-Denmārk}}.
أنَا {{c1::مِنْ السِّوِيدْ::ze Szwecji}}.	Anā {{c1::min es-Swīd}}.
أنَا {{c1::مِنْ النِّرْوِيجْ::z Norwegii}}.	Anā {{c1::min en-Norwīg}}.
أنَا {{c1::مِنْ تُونِسْ::z Tunezji}}.	Anā {{c1::min Tūnis}}.
أنَا {{c1::مِنْ تِشِيكْ::z Czech}}.	Anā {{c1::min Tšīk}}.
أنَا {{c1::مِنْ الِإِمَارَات::z Emiratów}}.	Anā {{c1::min el-ʾImārāt}}.
